tagId,tag
8,1970s
13,80s
17,abortion
19,action
22,"adapted from:book"
23,"adapted from:comic"
24,"adapted from:game"
25,addiction
26,adolescence
28,adultery
29,adventure
30,affectionate
34,africa
43,alien
44,"alien invasion"
45,aliens
49,"alter ego"
53,"alternate universe"
54,"amazing cinematography"
56,"american civil war"
57,amnesia
61,"animal movie"
63,animated
64,animation
65,anime
66,antarctica
75,art
77,"artificial intelligence"
79,artistic
80,artsy
86,atmospheric
87,australia
88,australian
89,"author:alan moore"
92,aviation
95,awful
96,bad
97,"bad acting"
103,"bad sequel"
104,ballet
107,"based on a book"
109,"based on a play"
110,"based on a true story"
111,"based on a tv show"
112,"based on a video game"
113,"based on book"
116,basketball
118,bdsm
125,berlin
127,"best war films"
132,"big budget"
133,biographical
134,biography
135,biopic
138,bittersweet
139,bizarre
140,"black and white"
141,"black comedy"
144,blindness
145,blood
146,bloody
149,bollywood
150,bombs
151,bond
153,"book was better"
154,books
155,boring
159,boxing
161,brazil
163,brilliant
164,british
165,"british comedy"
169,brutality
170,"buddy movie"
171,"bullshit history"
177,campy
178,canada
179,cancer
180,cannibalism
181,caper
182,capitalism
185,cars
186,cartoon
187,casino
193,cgi
197,cheerleading
201,"chick flick"
202,"child abuse"
204,children
207,"chris tucker"
209,christianity
210,christmas
211,cia
212,cinematography
214,"civil war"
215,classic
218,claustrophobic
220,clever
223,clowns
224,"coen bros"
227,college
229,colourful
230,comedy
232,"comic book"
233,"comic book adaption"
234,comics
235,"coming of age"
238,compassionate
239,competition
242,complicated
244,"computer animation"
245,"computer game"
248,"con men"
251,conspiracy
255,cool
256,corny
261,court
262,courtroom
263,"courtroom drama"
264,"crappy sequel"
267,creepy
268,crime
271,"cross dressing"
276,"cult film"
277,"culture clash"
278,cute
279,cute!
282,cynical
283,dance
285,dark
286,"dark comedy"
288,"dark hero"
290,"dc comics"
291,deadpan
292,death
293,"death penalty"
296,depressing
300,detective
304,dinosaurs
305,"directorial debut"
307,disappointing
309,disney
310,"disney animated feature"
312,disturbing
315,documentary
322,dragons
323,drama
324,dramatic
325,dreamlike
326,dreams
327,dreamworks
331,drugs
332,dumb
333,"dumb but funny"
334,"dynamic cgi action"
336,dystopia
339,"easily confused with other movie(s) (title)"
343,educational
344,eerie
350,england
351,enigmatic
354,"ensemble cast"
355,entertaining
359,epic
360,erotic
361,espionage
362,"ethnic conflict"
364,excellent
366,"exceptional acting"
367,exciting
368,existentialism
370,factual
371,"fairy tale"
372,"fairy tales"
374,family
375,"family bonds"
377,fantasy
378,"fantasy world"
379,farce
380,fascism
383,"father daughter relationship"
385,"father-son relationship"
387,"feel good movie"
388,feel-good
397,fish
400,football
402,foreign
405,france
406,franchise
412,friendship
414,fun
415,"fun movie"
