actorid,name,gender
88481,"Armstrong-Morris, Greg",m
135820,"Banks, Linden",m
171770,"Beechner, Ed",m
177901,"Bellamy, Ned",m
178740,"Bellis, Scott",m
226291,"Bliss, Ian",m
254211,"Bourne, JR",m
272055,"Breker, Eric",m
473272,"Court, Rob",m
489685,"Cruz, Daniel",m
495390,"Cunningham, Colin",m
537812,"de Icaza, Miguel",m
571000,"DeVeaux, Nathaniel",m
629873,"Dushku, Nate",m
698041,"Fee, Scott",m
735794,"Foo, Colin",m
855628,"Goudie, Peter",m
912318,"Halas, Robert J.",m
912638,"Halder, Ron",m
955924,"Hayes, Kevin",m
1009561,"Holmes, Tyson",m
1025554,"Howitt, Peter",m
1166002,"Keenleyside, Eric",m
1260743,"Labine, Tyler",m
1366734,"Lovgren, David",m
1487520,"McFerran, Douglas",m
1493927,"McKellar, Daniel",m
1500699,"McNealy, Scott",m
1647702,"New, Peter",m
1712337,"Ortiz, Francisco",m
1731498,"Pallome, Dino",m
1747283,"Paroo, Zahf",m
1779477,"Perrin, Blaine",m
1793283,"Phillippe, Ryan",m
1870887,"Ramji, Paresh",m
1929540,"Robbins, Tim",m
1937450,"Robison, Ian",m
1969807,"Roundtree, Richard",m
1981311,"Runyan, Tygh",m
1998808,"Sain, Justin",m
2035515,"Scarabelli, Ricardo",m
2120846,"Singer, Jason",m
2195389,"Stewart, Bobby",m
2203413,"Storey, Howard",m
2319279,"Trpin, Gregor",m
2322920,"Tso, Yee Jee",m
2415938,"Walley, Brian",m
2494417,"Wong, Simon",m
2501049,"Worthy, Rick",m
2525094,"Young, Jonathon",m
2805709,"Cook, Rachael Leigh",f
2855107,"Deakins, Sarah",f
2870627,"Devon, Dayna",f
2961547,"Forlani, Claire",f
3049921,"Ha, Benita",f
3217671,"Ko, Linda",f
3376098,"McDowell, Julie",f
3377577,"McGinnis, Rachel",f
3468495,"Nherlan, Ingelise",f
3540477,"Peterman, Anees",f
3613629,"Riley, Claire",f
3675012,"Savenkoff, Elizabeth Carol",f
3788872,"Taggart, Tamara",f
3867571,"Vieta, Patti",f
3908437,"Wick, Norma Jean",f
3938327,"Yea, Helena",f
13993,"Adams, Thomas Joseph",m
154794,"Basile, Joe",m
278746,"Briscoe, Brent",m
357454,"Carrasco, Carlos",m
448814,"Compton, Norm",m
500739,"Czarnecki, George",m
655768,"Elliott, Shawn",m
677233,"Evangelatos, Jimmy",m
733820,"Folk, Alexander",m
779260,"Gallegos, Frank",m
805489,"Genaro, Tony",m
827166,"Gironda, Joey",m
877083,"Griffin, Eddie",m
878571,"Griggs, Jeff",m
884311,"Grubbs, Gary",m
946135,"Harvey, Robert",m
980651,"Herrmann, Edward",m
1119764,"Jones, Orlando",m
1129545,"Julia-Levy, Raul",m
1390385,"Macer Jr., Sterling",m
1550013,"Miro, Richard",m
1578792,"Morales, Martin",m
1658074,"Nieves, Benny",m
1782227,"Pesce, Frank",m
1792454,"Phifer, Mark Chalant",m
1936895,"Robinson, Robby",m
1946879,"Roebuck, Daniel",m
2066740,"Seiber, John M.",m
2078204,"Sexton, Brent",m
2087000,"Sharperson, George",m
2161620,"Soto Jr., Juan",m
2457507,"White, Ted",m
2467606,"Will, Kevin",m
2648887,"Beauvais, Garcelle",f
2670427,"Bianco, Ana",f
2828927,"Cypis, Johanna",f
2856692,"Decaux, Xanthia",f
2924858,"Eskra, Donna",f
3225418,"Kosh, Pamela",f
3305570,"Lott, Julie",f
3459543,"Navedo, Andrea",f
3486260,"O'Donnell, Annie",f
3799503,"Taylor, Loran",f
3809755,"Thomas, Shirley",f
3950141,"Zee, Lisa",f
63934,"Anderson, Michael",m
125864,"Baker, Tab",m
750473,"Franke, Sam",m
867640,"Great, Artel",m
870727,"Green, Vince",m
980014,"Herrera, Randy",m
1198554,"Kinney, Terry",m
1203901,"Kitten, Calvin",m
1323767,"Levine, Michael",m
1351261,"Lockett, Pierre",m
1420783,"Manning, Earl",m
1502924,"McSween, Brian",m
1681767,"O'Connor, Jeremiah",m
1757943,"Paul, Malaika",m
1883624,"Ray, Ronnie",m
1894771,"Reid, Kevin",m
1933284,"Robertson, Davis C.",m
1968308,"Rothenberg, Andrew",m
1975945,"Rubio, Domingo",m
2117108,"Simonello, Patrick",m
2182364,"Starr, Fredro",m
2195602,"Stewart, Cory",m
2239061,"Tabor, Roland",m
2244202,"Talauega, Anthony",m
2244203,"Talauega, Richmond",m
2278576,"Thomas, Sean Patrick",m
2420659,"Wang, Guoping",m
2457849,"Whitebear, Richard",m
2459699,"Whitt, Garland",m
2502598,"Wright, Earl",m
2595413,"Anglin, Jennifer",f
2714407,"Brown, Deanne",f
2718282,"Bruk, Mekdes",f
2845350,"Davis, Tai'isha",f
2846044,"Dawn, Deborah",f
2883038,"Dolan, Ariane",f
2896508,"Duffy, Nicole Marie",f
2906953,"Echols, Jennifer",f
2947810,"Fields, Felicia",f
3020410,"Goodman, Jennifer",f
3032277,"Greenberg, Julie",f
3058658,"Hamilton, Trinity",f
3116657,"Hubbard, Erica",f
3164895,"Jones, Ora",f
3184177,"Kaschock, Taryn",f
3192950,"Keller, Stacy Joy",f
3262831,"Lawson, Bianca",f
3280503,"Leung, Audrey",f
3352433,"Martin, Dorothy",f
3489326,"Oas, Elisabeth",f
3491220,"Oeffling, Katrina",f
3496027,"Oliver, Latisha",f
3523339,"Paskevska, Anna",f
3525909,"Patterson, Emily",f
3548218,"Pickleman, Brenda",f
3565624,"Powell, Whitney",f
3570943,"Prisco, Suzanne L.",f
3622146,"Robinson, Nefertiti",f
3709747,"Shields, Tracy",f
3731011,"Smith Childs, Sarita",f
3764560,"Stiles, Julia",f
3817633,"Tlusty, Kim",f
3890985,"Washington, Kerry",f
3897443,"Weingardt, Ellie",f
3902532,"Westbrook, Karimah",f
3906822,"Whitehead, Chryssie",f
3911606,"Wilkins, Maia",f
3929641,"Wozniak, Joanna",f
3949273,"Zarro, Teanna",f
175296,"Belenky, David",m
292772,"Brown, W. Earl",m
316374,"Busch, Adam",m
564976,"Denton, Christopher",m
890917,"Guidry, Matt",m
905246,"Haase, Jamison",m
934138,"Harker, Wiley",m
1001850,"Hoffman, Jake",m
1015186,"Hopkins, Jeff",m
1029138,"Hubbell, Andy",m
1071443,"Jackson, Jeremy Kent",m
1206688,"Klein, Kevin Joseph",m
1208612,"Kling, Kevin",m
1351863,"Loder, Kurt",m
1403023,"Maher, Nate",m
1437659,"Marsden, James",m
1661099,"Ning, Li",m
1855859,"Quimby, Dave",m
1900838,"Rentfrow, Stevie Ray",m
2172638,"Springer, Jerry",m
2658306,"Benjamin-Olson, Bonnie",f
2679341,"Blanchard, Rachel",f
2964968,"Fox, Cassie",f
2969046,"Frantzich, Kirsten",f
2973503,"Fries, Laura",f
2977442,"Fuller, Susan",f
2998754,"George, Melissa",f
3042900,"Guilford, Andrea",f
3103703,"Holden, Alexandra",f
3193443,"Kellog, Ann",f
3194266,"Kelly, Katie",f
3207215,"King, Jacy",f
3350366,"Marsh, Sara",f
3447419,"Must, Miriam",f
3485788,"O'Connor, Isabell",f
3573703,"Puffer, Jan",f
3683597,"Schoen, Jessie",f
3707212,"Shelton, Marley",f
3737091,"Snell, Jennifer",f
3739418,"Sokoloff, Marla",f
3779767,"Suvari, Mena",f
3911324,"Wilkens, Claudia",f
3943267,"Young, Sean",f
174086,"Beiser, Brendan",m
216491,"Bivens, J.B.",m
270379,"Brazeau, Jay",m
567860,"DeSantis, Stanley",m
593868,"Doduk, Alex",m
783317,"Ganeev, Raoul",m
1117286,"Jones, Gary",m
1200586,"Kirk, James",m
1208172,"Kliman, Louis",m
1291683,"Lawrence, Colin",m
1389568,"MacDonald, John",m
1394917,"MacMillan, Sam",m
1580592,"Moreau, Matthew",m
1614572,"Musnicki, Robert",m
1703684,"Olyphant, Timothy",m
1750462,"Pascual, Joe",m
1781988,"Pervakov, Alexander",m
1824964,"Porter, Russell",m
1839848,"Prinze Jr., Freddie",m
2102347,"Shorthouse, Tom",m
2112913,"Silverman, Ben",m
2278806,"Thomas, Theodore",m
2428592,"Wasserman, Jerry",m
2460473,"Whyte, Andy",m
2781484,"Chow, China",f
2785283,"Cianni, Maria Luisa",f
2840979,"Daum, Jill",f
2903444,"Dykeman, Erin-Marie",f
2969611,"Fraser, Tomiko",f
3065944,"Harlow, Shalom",f
3103150,"Hogg, Elysa",f
3269696,"Lee, Katie",f
3283334,"Lewis, Kristina",f
3290366,"Linde, Betty",f
3324459,"MacMillan, Norma",f
3364457,"Matthews, Katrina",f
3404068,"Milicevic, Ivana",f
3444394,"Murdoch, Sarah",f
3506790,"Owen, Jan",f
3564177,"Potter, Monica",f
3599481,"Reichert, Tanja",f
3677889,"Schad, Brenda",f
3692329,"Seear, Noot",f
3711728,"Shirkoff, Bethoe",f
3810878,"Thompson, Jody",f
137586,"Barager, Chad",m
221456,"Blake, Dalias",m
235118,"Boileau, Daniel",m
244989,"Boreanaz, David",m
377198,"Cecere, Fulvio",m
468589,"Cosgrove, Daniel",m
497260,"Currie, G. Patrick",m
576594,"Diakun, Alex",m
618919,"Dudley, Aaron",m
621125,"Duhamel, Claude",m
721557,"Fisher, Noel",m
937068,"Harrington, Adam",m
1008695,"Holmes, Adrian",m
1091677,"Jeffreys, Woody",m
1399980,"Magel, Paul",m
1493446,"McKay, Sterling",m
1603610,"Mullan, Mark",m
1703334,"Olsson, Ty",m
1727349,"Page, Wyatt",m
1732460,"Palmer, Joel",m
2074688,"Serpa, Cody",m
2223833,"Sutherland, Haig",m
2401917,"Vradenburg, Tyler",m
2435235,"Webb, Chris",m
2460288,"Whitworth, Johnny",m
2598691,"Antos, Basia",f
2695405,"Boudreau, Carla",f
2725451,"Burgart, Chelcie",f
2728160,"Burress, Hedy",f
2745844,"Capshaw, Jessica",f
2751983,"Carreck, Karina",f
2761370,"Cauffiel, Jessica",f
2943109,"Fernandes, Jo-Ann",f
2957039,"Florko, Chelsea",f
3081354,"Heigl, Katherine",f
3299393,"Logie, Kate",f
3368115,"Mayers, Brittany",f
3415591,"Mjanes, Sarah",f
3568177,"Prescott, Tamara",f
3609575,"Richards, Denise",f
3674114,"Saunders, Kendall",f
3874599,"Volker, Vanessa",f
67729,"Andrews, David",m
243818,"Boothby, Andrew C.",m
446942,"Coltorti, Ennio",m
465599,"Corrado, Alex",m
478217,"Craig, Aaron",m
686036,"Faison, Frankie",m
815482,"Giannini, Giancarlo",m
818789,"Gifuni, Fabrizio",m
824965,"Ginn, Harold",m
868125,"Greco, Marco",m
892104,"Guinan, Francis",m
1014988,"Hopkins, Anthony",m
1065874,"Ivanek, Zeljko",m
1067595,"Iwataki, Ian",m
1180380,"Kestner, Boyd",m
1187781,"Kiebranz, Johannes",m
1215872,"Koch, Ted",m
1294804,"Lazzaretti, Bruno",m
1342068,"Linville, Kent",m
