movieid,moviename,genres
3961,"Antitrust (2001)",Thriller
3962,"Double Take (2001)",Action|Comedy
3963,"Save the Last Dance (2001)",Drama|Romance
3977,"Sugar & Spice (2001)",Comedy
4050,"Head Over Heels (2001)",Comedy|Romance
4052,"Valentine (2001)",Horror|Mystery
4057,"Hannibal (2001)",Horror|Thriller
4058,"Saving Silverman (2001)",Comedy
4062,"Down to Earth (2001)",Comedy|Romance
4063,"Recess: School's Out (2001)",Animation|Children
4064,"Sweet November (2001)",Drama|Romance
4067,"Monkeybone (2001)",Animation|Comedy
4068,"3000 Miles to Graceland (2001)",Action|Thriller
4071,"See Spot Run (2001)",Comedy
4072,"Carman: The Champion (2001)",Action|Drama
4075,"Series 7: The Contenders (2001)",Action|Drama
4076,"15 Minutes (2001)",Thriller
4077,"Get Over It (2001)",Comedy|Romance
4132,"Enemy at the Gates (2001)",Drama|War
4133,"Exit Wounds (2001)",Action|Thriller
4138,"Say It Isn't So (2001)",Comedy|Romance
4141,"Spy Kids (2001)",Action|Adventure|Children|Comedy
4142,"Tomcats (2001)",Comedy
4147,"Along Came a Spider (2001)",Action|Crime|Mystery|Thriller
4148,"Blow (2001)",Drama
4149,"Just Visiting (2001)",Comedy|Fantasy
4152,"Brigham City (2001)",Crime|Drama|Mystery
4155,"Bridget Jones's Diary (2001)",Comedy|Drama|Romance
4156,"Joe Dirt (2001)",Comedy
4157,"Josie and the Pussycats (2001)",Comedy
4158,"Kingdom Come (2001)",Comedy
4163,"Crocodile Dundee in Los Angeles (2001)",Comedy|Drama
4164,"Freddy Got Fingered (2001)",Comedy
4173,"Driven (2001)",Action|Thriller
4175,"One Night at McCool's (2001)",Comedy
4176,"Town & Country (2001)",Comedy
4212,"Startup.com (2001)",Documentary
4213,"Angel Eyes (2001)",Drama|Romance|Thriller
4214,"Shrek (2001)",Adventure|Animation|Children|Comedy|Fantasy|Romance
4223,"Gabriela (2001)",Comedy|Drama|Romance
4249,"What's the Worst That Could Happen? (2001)",Comedy
4252,"Swordfish (2001)",Action|Crime|Drama
4254,"Bride of the Wind (2001)",Drama|Musical|Romance
4274,"Atlantis: The Lost Empire (2001)",Animation|Children|Fantasy
4275,"Lara Croft: Tomb Raider (2001)",Action|Adventure
4276,"Dr. Dolittle 2 (2001)",Comedy
4279,"Baby Boy (2001)",Crime|Drama
4280,"Crazy/Beautiful (2001)",Drama|Romance
4281,"Pootie Tang (2001)",Comedy
4294,"Cats & Dogs (2001)",Children|Comedy
4295,"Kiss of the Dragon (2001)",Action
4296,"Scary Movie 2 (2001)",Comedy|Horror
4297,"Lost and Delirious (2001)",Drama
4354,"Final Fantasy: The Spirits Within (2001)",Adventure|Animation|Fantasy|Sci-Fi
4355,"Legally Blonde (2001)",Comedy
4358,"Bully (2001)",Crime|Drama|Thriller
4359,"Jump Tomorrow (2001)",Comedy|Drama|Romance
4360,"Made (2001)",Comedy
4364,"Haunted Castle (2001)",Animation|Horror|IMAX
4546,"Jurassic Park III (2001)",Action|Adventure|Sci-Fi
4547,"America's Sweethearts (2001)",Comedy|Romance
4549,"Ghost World (2001)",Comedy|Drama
4551,"Planet of the Apes (2001)",Action|Adventure|Drama|Sci-Fi
4555,"Jackpot (2001)",Drama
4557,"Wet Hot American Summer (2001)",Comedy
4607,"Original Sin (2001)",Drama|Romance|Thriller
4609,"Rush Hour 2 (2001)",Action|Comedy
4626,"American Pie 2 (2001)",Comedy
4627,"Osmosis Jones (2001)",Comedy
4629,"American Outlaws (2001)",Action|Comedy|Western
4630,"All Over the Guy (2001)",Comedy
4633,"Session 9 (2001)",Horror|Thriller
4635,"Captain Corelli's Mandolin (2001)",Drama|Romance|War
4636,"Rat Race (2001)",Comedy
4639,"Bubble Boy (2001)",Comedy
4641,"Jay and Silent Bob Strike Back (2001)",Comedy
4643,"Summer Catch (2001)",Comedy|Romance
4650,"Tortilla Soup (2001)",Comedy|Romance
4651,"Jeepers Creepers (2001)",Horror
4653,"Waking Up in Reno (2002)",Comedy|Romance
4664,"Rock Star (2001)",Drama|Musical
4666,"Two Can Play That Game (2001)",Comedy|Drama
4671,"Kill Me Later (2001)",Romance|Thriller
4672,"L.I.E. (2001)",Drama
4680,"Haiku Tunnel (2001)",Comedy
4681,"Big Trouble (2002)",Comedy|Crime
4682,"Glitter (2001)",Drama|Musical|Romance
4683,"Training Day (2001)",Crime|Drama|Thriller
4688,"Megiddo: The Omega Code 2 (2001)",Thriller
4689,"Sidewalks of New York (2001)",Comedy|Romance
4721,"Don't Say a Word (2001)",Thriller
4722,"Hearts in Atlantis (2001)",Drama
4723,"Zoolander (2001)",Comedy
4728,"Joy Ride (2001)",Adventure|Thriller
4729,"Max Keeble's Big Move (2001)",Children|Comedy
4730,"Serendipity (2001)",Comedy|Romance
4751,"Bandits (2001)",Comedy|Crime|Romance
4752,"Corky Romano (2001)",Comedy|Crime
4756,"My First Mister (2001)",Comedy|Drama
4758,"Things Behind the Sun (2001)",Drama
4772,"From Hell (2001)",Crime|Horror|Mystery|Thriller
4774,"Riding in Cars with Boys (2001)",Comedy|Drama
4778,"Focus (2001)",Drama
4780,"Waking Life (2001)",Animation|Drama|Fantasy
4781,"K-PAX (2001)",Drama|Fantasy|Mystery|Sci-Fi
4782,"On the Line (2001)",Comedy|Romance
4785,"Donnie Darko (2001)",Drama|Mystery|Sci-Fi|Thriller
4786,"High Heels and Low Lifes (2001)",Comedy|Crime|Drama
4787,"Life as a House (2001)",Comedy|Drama
4792,"Domestic Disturbance (2001)",Thriller
4793,"Monsters, Inc. (2001)",Animation|Children|Comedy|Fantasy
4795,"Tape (2001)",Drama
4796,"Heist (2001)",Crime|Drama
4797,"Shallow Hal (2001)",Comedy|Fantasy|Romance
4805,"Novocaine (2001)",Comedy|Crime|Mystery|Thriller
4807,"Out Cold (2001)",Comedy
4808,"Spy Game (2001)",Action|Crime|Drama|Thriller
4810,"In the Bedroom (2001)",Drama
4865,"Behind Enemy Lines (2001)",Action|Drama|War
4869,"Texas Rangers (2001)",Adventure|Western
4870,"Ocean's Eleven (2001)",Comedy|Crime|Thriller
