userid,movieid,tagid,timestamp
20,7309,1009,"2007-08-27 18:16:41"
109,7247,1128,"2008-05-23 18:33:32"
109,8171,1128,"2006-12-07 22:20:26"
109,8207,368,"2006-12-07 22:12:44"
127,4355,417,"2007-08-27 18:44:23"
146,3963,507,"2007-11-20 20:16:15"
146,3977,197,"2007-12-05 17:49:56"
146,4057,903,"2006-05-27 04:14:14"
146,4062,849,"2008-04-18 18:49:12"
146,4147,107,"2008-09-14 14:20:16"
146,4155,107,"2006-10-30 19:42:52"
146,4214,770,"2007-12-15 23:47:49"
146,4249,107,"2008-03-23 16:52:11"
146,4252,484,"2007-12-23 21:35:32"
146,4296,770,"2006-10-12 05:08:14"
146,4354,1075,"2007-11-20 04:16:42"
146,4355,227,"2007-11-22 04:47:03"
146,4358,1047,"2007-07-01 03:41:54"
146,4360,305,"2008-04-02 22:13:43"
146,4672,305,"2008-04-03 02:46:21"
146,4772,903,"2006-05-27 04:13:17"
146,4785,305,"2008-04-03 02:05:27"
146,4870,354,"2007-12-15 06:11:08"
146,4885,109,"2008-11-09 20:21:38"
146,4896,227,"2007-11-22 04:46:04"
146,4921,645,"2008-09-20 06:52:53"
146,4922,556,"2007-11-25 05:46:52"
146,4954,770,"2008-04-20 23:57:51"
146,5123,1007,"2007-12-15 23:40:47"
146,5159,901,"2008-04-28 21:52:12"
146,5199,903,"2006-05-27 04:19:00"
146,5203,305,"2008-04-02 22:11:57"
146,5269,911,"2007-09-25 03:25:53"
146,5306,770,"2007-12-03 01:09:57"
146,5350,107,"2006-10-30 19:24:15"
146,5351,883,"2007-11-22 03:41:14"
146,5386,770,"2006-11-13 22:52:12"
146,5520,141,"2008-03-03 11:17:59"
146,5533,903,"2006-05-27 04:15:50"
146,5567,507,"2007-11-20 20:20:16"
146,5580,305,"2008-04-03 02:50:12"
146,5688,842,"2007-12-14 23:37:20"
146,5694,134,"2007-12-15 04:45:22"
146,5713,507,"2007-11-20 20:17:24"
146,5715,556,"2007-11-15 12:14:01"
146,5735,847,"2008-05-04 03:45:42"
146,5783,107,"2006-10-30 19:44:10"
146,5784,107,"2008-04-02 22:35:47"
146,5805,331,"2007-12-23 18:25:10"
146,5842,227,"2007-12-16 03:55:11"
