movieid,actorid,actor_movie_rank
3961,88481,66
3961,135820,44
3961,171770,20
3961,177901,10
3961,178740,12
3961,226291,48
3961,254211,24
3961,272055,22
3961,473272,40
3961,489685,58
3961,495390,23
3961,537812,54
3961,571000,17
3961,629873,9
3961,698041,41
3961,735794,35
3961,855628,49
3961,912318,57
3961,912638,27
3961,955924,37
3961,1009561,59
3961,1025554,52
3961,1166002,25
3961,1260743,11
3961,1366734,13
3961,1487520,5
3961,1493927,29
3961,1500699,55
3961,1647702,33
3961,1712337,61
3961,1731498,62
3961,1747283,14
3961,1779477,34
3961,1793283,1
3961,1870887,63
3961,1929540,4
3961,1937450,18
3961,1969807,6
3961,1981311,7
3961,1998808,46
3961,2035515,47
3961,2120846,64
3961,2195389,21
3961,2203413,30
3961,2319279,51
3961,2322920,8
3961,2415938,56
3961,2494417,65
3961,2501049,16
3961,2525094,15
3961,2805709,2
3961,2855107,28
3961,2870627,26
3961,2961547,3
3961,3049921,45
3961,3217671,19
3961,3376098,53
3961,3377577,60
3961,3468495,32
3961,3540477,50
3961,3613629,38
3961,3675012,31
3961,3788872,43
3961,3867571,39
3961,3908437,42
3961,3938327,36
3962,13993,36
3962,154794,27
3962,278746,11
3962,357454,13
3962,448814,39
3962,500739,40
3962,655768,10
3962,677233,23
3962,733820,32
3962,779260,35
3962,805489,21
3962,827166,26
3962,877083,2
3962,878571,18
3962,884311,3
3962,946135,42
3962,980651,9
3962,1119764,1
3962,1129545,24
3962,1390385,5
3962,1550013,31
3962,1578792,22
3962,1658074,6
3962,1782227,14
3962,1792454,28
3962,1936895,16
3962,1946879,4
3962,2066740,17
3962,2078204,29
3962,2087000,25
3962,2161620,44
3962,2457507,20
3962,2467606,30
3962,2648887,7
3962,2670427,43
3962,2828927,37
3962,2856692,41
3962,2924858,12
3962,3225418,34
3962,3305570,15
3962,3459543,8
3962,3486260,33
3962,3799503,45
3962,3809755,38
3962,3950141,47
3963,63934,50
3963,125864,17
3963,750473,54
3963,867640,10
3963,870727,7
3963,980014,44
3963,1198554,5
3963,1203901,58
3963,1323767,59
3963,1351261,60
3963,1420783,33
3963,1502924,62
3963,1681767,63
3963,1757943,30
3963,1883624,21
3963,1894771,18
3963,1933284,49
3963,1968308,19
3963,1975945,65
3963,2117108,67
3963,2182364,4
3963,2195602,11
3963,2239061,36
3963,2244202,37
3963,2244203,25
3963,2278576,2
3963,2420659,68
3963,2457849,38
3963,2459699,8
3963,2502598,39
3963,2595413,12
3963,2714407,51
3963,2718282,20
3963,2845350,22
3963,2846044,52
3963,2883038,40
3963,2896508,53
3963,2906953,31
3963,2947810,15
3963,3020410,55
3963,3032277,28
3963,3058658,43
3963,3116657,24
3963,3164895,16
3963,3184177,56
3963,3192950,57
3963,3262831,6
3963,3280503,45
3963,3352433,13
3963,3489326,9
3963,3491220,46
3963,3496027,34
3963,3523339,29
3963,3525909,64
3963,3548218,27
3963,3565624,26
3963,3570943,61
3963,3622146,35
3963,3709747,66
3963,3731011,42
3963,3764560,1
3963,3817633,14
3963,3890985,3
3963,3897443,32
3963,3902532,23
3963,3906822,41
3963,3911606,48
3963,3929641,47
3963,3949273,69
3977,175296,14
3977,292772,10
3977,316374,11
3977,564976,21
3977,890917,38
3977,905246,27
3977,934138,18
3977,1001850,12
3977,1015186,24
3977,1029138,30
3977,1071443,26
3977,1206688,25
3977,1208612,15
3977,1351863,42
3977,1403023,13
3977,1437659,8
3977,1661099,39
3977,1855859,16
3977,1900838,19
